asset,cagr,max_drawdown,avg_volatility_30d
BTC-USD,0.5189478998157806,-0.7663456370856907,0.0295421724883312
ETH-USD,0.6828995565065863,-0.7935123166505247,0.0396892241424438
QQQ,0.1990091904655173,-0.3511871079378962,0.0144064587538354
SPY,0.1496313907028124,-0.3371725334437185,0.0111358474318577
